username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
parnpani        ,,,,,1,,,other posts caption ,Thailand,
drh1980         ,1,,1,,,,,"caption,bio",UK,
minu_mmb        ,,,,,1,,,other posts caption ,French ,
chinachote      ,,,1,,1,,,"bio,other posts caption ",Thailand,
mmooklek        ,1,,,,1,,,"caption,other posts caption ",Thailand,
mileswithmaisie ,,,1,,1,,,"bio,other posts caption ",Spain,
ter_roddang.cm,1,,1,,,,,"caption,bio",Thailand,
lizavettashirshir   ,1,,,,1,,,"caption,other posts caption ",Russia ,
npetu           ,1,,,,1,,,"caption,other posts caption ",Finland,
meedo1     ,,,,,,,,,UNKNOWN,caption in eng
raphetlemonde   ,1,,1,,,,,"caption,bio",French,
cesinnl ,,,,,,,,,UNKNOWN,i know he is from Netherland through his fb link
hkbirbs        ,1,,1,,,,,"caption,bio  ",Hong Kong,
leferia         ,1,,,,,,1,"caption,location frequency",USA,
joelboughner_,,,,,,,,,UNKNOWN,caption in  eng
hanna.sauer ,1,,1,,,,,"caption,bio",Germany,
shipped_away    ,,,1,,,,,bio,Croatia & Slovenia ,
lingdum         ,,,,,1,,,other posts caption ,Thailand,
james_landscapesgallery,,,,,,,,,UNKNOWN,
erik_hrustic    ,1,,1,,,,,"caption,bio",Italy ,
krongtong_s     ,1,,,1,,,,"caption,name",Thailand,
ivantriathlon*  ,,,,,,,,,UNKNOWN,maybe lives in TH cuz location tag is in TH a lot
shaunandsophietravels,,,,,,,,,UNKNOWN ,
tyler_reisetter,,,,,,,,,UNKNOWN ,
tommyk9321      ,1,,1,,,,,"caption,bio  ",UK ,
hergottsmax     ,,,1,,1,,,"bio,other posts caption ",Germany ,
sam_and_shiva,1,,,,,,,caption,UNKNOWN ,
basenjanneke    ,1,,,,1,,,"caption,other posts caption ",UNKNOWN,
kaa_siaa_      ,1,,1,,,,,"caption,bio",Poland ,
