username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
pxxd_09  ,,,,,,,,,UNKNOWN,
princess_namhroom  ,1,,,,1,,,"caption,other posts caption ",Thailand,
hnuntuun        ,,,,1,1,,,"name,other posts caption ",Thailand,
chacha.chaa    ,1,,,,1,,,"caption,other posts caption ",Thailand,
naritsara_2551  ,,,,1,1,,,"name,other posts caption ",Thailand,
wachirawit_sj  ,,,,,1,,,other posts caption ,Thailand,
aom.chattaya    ,,,,,,,,,Thailand,
thhoaianh       ,1,,,1,,,,"caption,bio,name",UNKNOWN,
ssprnxz_        ,,,,,1,,,other posts caption ,Thailand,
nupou_pou       ,,,,,1,,,other posts caption ,Thailand,
laokuekoonpong  ,1,,,,1,,,"caption,other posts caption ",Thailand,
quitarz_sirarat ,,,,,1,,,"bio,other posts caption ",Thailand,
arani_f         ,,,,,1,,,other posts caption ,Thailand,
pen4ek          ,,,,,1,,,other posts caption ,Thailand,
iyaayayea       ,1,,,1,,,,"caption,name",Thailand,
deer_eet61      ,1,,,,1,,,"caption,other posts caption ",Thailand,
gramtns      ,,,,,,,,,UNKNOWN,
_ppymp         ,,,,,1,,,"bio,other posts caption ",Thailand,bio said from KU
spcchex         ,,,,1,,,,name,Thailand,
bell.__.belll   ,1,,,,,,,"caption,bio",Thailand,
eichikung       ,1,,,,1,,,"caption,other posts caption ",Thailand,
pangsuchanuch   ,1,,,,1,,,"caption,other posts caption ",Thailand,
chaiwatrew      ,1,,,,,,,"caption,bio said from CMU",Thailand,
privalsamlee    ,1,,,1,,,,"caption,name",Thailand,
nattypinyo24    ,,,,,1,,,other posts caption ,Thailand,
honghongg.n     ,1,,,,,,,caption,Thailand,
earth _warunch  ,,,,1,,,,name,Thailand,
pampoeysnap    ,,,,,1,,,other posts caption ,Thailand,
waratchayax_    ,1,,,1,,,,"caption,name",Thailand,
d_mjxt          ,1,,,1,,,,"caption,name",Thailand,
c._tns          ,1,,,1,,,,"caption,bio ,name",Thailand,
mirukudesu21    ,1,,,,,,,"caption,bio",Thailand,
manaukkaradit   ,1,,,,1,,,"caption,other posts caption ",Thailand,
sabza1236      ,1,,,1,,,,"caption,bio ,name",Thailand,
mod_tareerat    ,1,,,,,,,"caption,bio",Thailand,
fluffy.fang     ,1,,,,1,,,"caption,other posts caption ",Thailand,
airdarunee      ,1,,,1,,,,"caption,bio,name",Thailand,
rungrangoutdoor.official ,1,,,,,,,"caption,bio",Thailand,
yaimangda      ,1,,,,1,,,"caption,other posts caption ",Thailand,
smart_boo.k     ,1,,,1,,,,"caption,name",Thailand,
taster_kay      ,1,,,,1,,,"caption,other posts caption ",Thailand,
wizh_limaz      ,1,,1,,,,,"caption,bio",Thailand,"caption,bio from TH"
cp_choompoo    ,1,,,,1,,,"caption,other posts caption ",Thailand,
ntrp._.797     ,1,,1,,,,,"caption,bio",Thailand,"caption,bio said from CMU"
mintty_nrt      ,,,,,1,,,other posts caption ,Thailand,
nong_joke_      ,,,1,,,,,bio,Thailand,
vanida999       ,1,,1,,,,,"caption,bio",Thailand,
_kkongxsw4_     ,,,,,1,,,"bio,other posts caption",Thailand,bio said from CMU
ployrann        ,1,,,,,,,caption,Thailand,
tianwangpu_mos  ,,,,,1,,,other posts caption,Thailand,
ca_anna_ptv    ,,,1,,,,,bio,Laos,bio from laos
mod_tareerat    ,1,,1,,,,,"caption,bio",Thailand,
yahairaiy       ,1,,,1,,,,"caption,name",Thailand,
lettuce_160    ,1,,,,1,,,"caption,other posts caption ",Thailand,
bowruta2023     ,1,,1,,,,,"caption,bio",Thailand,
safe.scene,,,,,,,,,UNKNOWN,
oat__mukdahan   ,1,,,,1,,,"caption,other posts caption ",Thailand,
sk_ae           ,,,1,,1,,,"bio,other posts caption ",Thailand,
permpon1993     ,1,,1,,,,,"caption,bio",Thailand,
kwangnoii324    ,1,,,,1,,,"caption,other posts caption ",Thailand,
jirayu8353      ,1,,,,,,,caption,Thailand,
nujcharess      ,1,,,,1,,,"caption,other posts caption ",Thailand,
