username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
imlmelo,,,,,,,,abt this acc,Unknown,creator
carlosleest,,,,,,,,,Unknown,"english, many country"
arisara_bonled,,,1,,,,,bio (thai),thailand,
wishuta_nn,1,,,,1,,,caption,thailand,
suphitch.a,1,,,,1,,,caption,thailand,
fotoristin,,,,,,,,,Unknown,"english, many country"
_awwwwloveee,,,1,,,,,bio (thai),thailand,
nnim_mx,,,,,1,,,"other post cap, cap in thailand trending(you&me&me)",thailand,
roundcarrot.official,1,,,,1,,,caption,NAT,shop
chayanisa.intharasoot,1,,,,1,,,caption,NAT,shop
toonmsuru,1,,,,1,,,caption,thailand,
ppjaxn_,,,,,1,,,other post cap,thailand,"bio in korean, mostly korean"
11.28sara,,,,,1,,,otherr post cap,thailand,
maya.chiangmai,,,,,,,,,NAT,
hwa.aileen,,,,,1,,,other post cap,thailand,
maya.chiangmai,,,,,,,,,NAT,officail acc
elonovung,,,,,,,,,Unknown,No info
_pattaramon_00_,1,,,,1,,,caption,thailand,
xspt9m._,,1,,,1,,,"comment, other post cap in thailand trending",thailand,
ford_thnp_,1,,,,1,,,caption,thailand,
maya.chiangmai,,,,,,,,,NAT,officail acc
macrame_chiangmai,,,,,,,,,NAT,shop
ploykw.an_,1,,,,,,,caption,thailand,
varanon9669,1,,,,,,,caption,thailand,
clatangg,1,,,,,,,caption,thailand,
woovely_babys,1,,,,,,,caption,korea,long caption
frienddx._,1,,,,,,,caption,thailand,
sal_monnw,,,,,,,,bio (korean),Unknown,not sure
diamond_2429,,,,,1,,,"video speak thai, other post cap",thailand,
k.archives666,,,,,1,,,"other post cap, cap in thailand trending(y2k)",thailand,
maya.chiangmai,,,,,,,,,NAT,officail acc
cckp.tt,1,,,,,,,caption,thailand,
maya.chiangmai,,,,,,,,,NAT,official acc
littlepimvaa,1,,,,,,,caption,thailand,
mm.mochi__,,1,,,1,,,"comment, other post cap in thai",thailand,
zyjqx._,,1,,,,,,comment,thailand,"mostly caption in korean, bio in korean"
maya.chiangmai,,,,,,,,,NAT,official acc
beone2007,,,1,,,,,"bio (Chiang Mai, Thailand)",thailand,
maya.chiangmai,,,,,,,,,NAT,official acc
mungjively_94,1,,1,,,,,"bio, caption",korea,
maya.chiangmai,,,,,,,,,NAT,official acc
tanapatboojdjd,1,,,,,,,caption,thailand,
yod_sarunyoo,1,,,,,,,caption,thailand,
yenmit2540,1,,,,,,,caption,vietnam,
mom_a_phatha,1,,,,,,,caption,thailand,
fssl.fah,,,,,,,,,thailand(guess),ambigiouscaption in english
maya.chiangmai,,,,,,,,,NAT,official acc
lookpeachlppeach,,,1,,,,,bio,thailand,lจ้าชา€oสูs
lwtsnt,,,,,,,,NaN,Unknown,
noomyenoh.c,,,,,1,,,other post cap,thailand,bio in french
nid_kanjana,1,,,,,,,caption,thailand,
tatee_x,,1,,,,,,comment,thailand,
oudoi,1,,,,,,,caption,thailand,
jueystory,1,,,,,,,caption,thailand,
