username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
britanyohan,-1,,1,,-1,,-1,"caption,bio,other posts caption,location frequency",Korea,"caption.location,bio is conflict/caption in chinese/bio said from seoul"
ken_kimyongjoon,,,,,1,1,,"other posts caption,other posts comment",Thailand,
iamapradabackpacker,1,,,,1,,1,"caption,other posts caption,location frequency",Thailand,
natthamon_ning12,1,,,,1,1,1,"caption,other posts caption,other posts comment,location frequency",Thailand,
nungniingko,1,,,,1,,,"caption,other posts caption ",Thailand,
timexley,,,,,,,,,UNKNOWN,
dareena.vichairat,,,,,1,,1,"other posts caption,location frequency",Thailand,
thawat4646,,,1,,1,,1,"bio,other posts caption,location frequency",Thailand,
rungedchaaratn,1,,,1,1,,1,"caption,name,other posts caption,location frequency",Thailand,
anantippimpawa,,,,,1,,1,"other posts caption,location frequency",Thailand,"caption mostly in English, only 1 post in Thai"
66amaze,,,,,1,1,,"other posts caption,other posts comment",China,
levoyage_cestlavie,1,,,1,1,1,,"caption,name,other posts caption,other posts comment",China,
wittawat.hh,,,,,1,,1,"other posts caption,location frequency",Thailand,
lttree,,,,,1,1,1,"other posts caption,other posts comment,location frequency",Thailand,
4624pu,1,,,,1,1,1,"caption,other posts caption,other posts comment,location frequency",Thailand,
wanwan_wilawan,1,,,,1,,1,"caption,other posts caption,location frequency",Thailand,
vescovifrancesca,,,,,1,,,other posts caption ,Italy,
sylvie_jean_joseph,1,,,,1,,,"caption,other posts caption ",French,
