username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
parnpani        ,,,,,1,,,other posts caption ,Thailand,
drh1980         ,1,,1,,,,,"caption,bio",UK,
minu_mmb        ,,,,,1,,,other posts caption ,French ,
chinachote      ,,,1,,1,,,"bio,other posts caption ",Thailand,
mmooklek        ,1,,,,1,,,"caption,other posts caption ",Thailand,
mileswithmaisie ,,,1,,1,,,"bio,other posts caption ",Spain,
ter_roddang.cm,1,,1,,,,,"caption,bio",Thailand,
lizavettashirshir   ,1,,,,1,,,"caption,other posts caption ",Russia ,
npetu           ,1,,,,1,,,"caption,other posts caption ",Finland,
meedo1     ,,,,,,,,,UNKNOWN,caption in eng
raphetlemonde   ,1,,1,,,,,"caption,bio",French,
cesinnl ,,,,,,,,,UNKNOWN,i know he is from Netherland through his fb link
hkbirbs        ,1,,1,,,,,"caption,bio  ",Hong Kong,
leferia         ,1,,,,,,1,"caption,location frequency",USA,
joelboughner_,,,,,,,,,UNKNOWN,caption in  eng
hanna.sauer ,1,,1,,,,,"caption,bio",Germany,
shipped_away    ,,,1,,,,,bio,Croatia & Slovenia ,
lingdum         ,,,,,1,,,other posts caption ,Thailand,
james_landscapesgallery,,,,,,,,,UNKNOWN,
erik_hrustic    ,1,,1,,,,,"caption,bio",Italy ,
krongtong_s     ,1,,,1,,,,"caption,name",Thailand,
ivantriathlon*  ,,,,,,,,,UNKNOWN,maybe lives in TH cuz location tag is in TH a lot
shaunandsophietravels,,,,,,,,,UNKNOWN ,
tyler_reisetter,,,,,,,,,UNKNOWN ,
tommyk9321      ,1,,1,,,,,"caption,bio  ",UK ,
hergottsmax     ,,,1,,1,,,"bio,other posts caption ",Germany ,
sam_and_shiva,1,,,,,,,caption,UNKNOWN ,
basenjanneke    ,1,,,,1,,,"caption,other posts caption ",UNKNOWN,
kaa_siaa_      ,1,,1,,,,,"caption,bio",Poland ,
nerminali116,1,,1,,1,,1,,Lebanon,
rache_tan,,,,,1,,,,Vietnam,
skumtoom,,,,1,1,,,,Thailand,
ladinecek,,,,,,,,,UNKNOWN,
im__am__amp,1,,1,,1,1,,,Thailand,
ewery.mysunshine,1,,1,,1,1,,,Thailand,
_markgeeee,,,1,,,,,,Australia,
franciscandiyey,,,1,,,,,,United Arab Emirates,
chani_ka,,,,,1,,,,Thailand,
iam.thegabru,1,,,,1,,,,United States,
paulogalletti_,,,1,,,,,,Brazil,
i.amomz_,,,,,,1,,,Thailand,
ningchiangmaiprivatetour,,,,,,,,,NAT,
tskorson,,,,,,,,,UNKNOWN,
atpandme,,,1,,,,,,United States,
ake.worarit,,,,,1,1,,,Thailand,
ollyandtash,,,1,,,,,,England,
michael.chaiwimol,,,1,,,,,,United States,
dordeaw_pattanakul,,1,,,1,1,,,Thailand,
frongfrank__,,,,,1,1,,,Thailand,
sandra.gierzek,1,,1,1,1,,,,Poland ,
intanonss,,1,,,1,1,,,Thailand,
oliver_bowering,,,1,,,,,,England,
basic_lee_leaders,1,,1,1,1,,,,Korea,
josgoh,,,1,,1,,,,Singapore,
wkp_pad,,,1,,,,,,England,
kennethkhunleng,,,,,,,,,UNKNOWN,
rupindersingh.ca,,,1,,,,,,Canada,
kucher_elena,,,1,,,,,,Russia ,
donvatanatham,,,,,,1,,,Thailand,
veneravm,,,1,,,,,,Thailand,
mj_hewitt,,,,,,,1,,England,
kirson_21,1,1,1,,,,,,Russia ,
salvadorestef,,,1,,,,,,New Zealand,
nomad_gate,,,1,,,,,,Russia ,
manuzappino,,,,,1,,,,Italy ,
slaykov_a,,1,,,1,1,,,Russia ,
beijingstrays,,,,,1,,,,China,
couplering,,,,,,,,,UNKNOWN,
dariya_dreamer,1,1,,,1,1,,,Russia ,
sadetraveler,,,,,,,,,UNKNOWN,basically went to all around the world
nokieaday,1,1,1,,,,,,Thailand,
mr_randomworld,,,1,,,,,,Spain,
shaikas_lens,,,1,,,,,,Bangladesh,
ylenia_m._,,,1,,,,,,Italy ,
mato_kyrcz,,,,,1,1,,,Slovak,
b.more.ill,,,,,,,,,UNKNOWN,
markandellatravels_,,,1,,,,,,Australia,
katawozniak,,1,,,,1,,,Poland ,
mysticsoundofmeditation,,,,,,,,,UNKNOWN,
havekidsstilltraveling,,,,,,,,,NAT,
overfitted_nnet,,,,,,,,,UNKNOWN,use English in general but no country specify
riazahmed1,,,,,,,,,UNKNOWN,use English in general but no country specify
allyouneed_is_travelling,,,,,1,1,,,Italy,
deborah__luce,1,,,,1,,,,Italy,
epicly.poco,1,,1,,,,,,Thailand,
accoo_ty,,,,,,,1,,Thailand,
fotokathagrafie,,1,1,,,1,,,Germany,
pijie_mhar,,,1,,,,,,Malaysia,
juse_lens,,,1,,,,,,Finland,
