username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
zahkojung,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,
ronald.t,1,,,,1,1,1,"caption,other posts caption,other posts comment,location frequency",Malaysia,
natcha_toey,1,,,,1,1,,"caption,,other posts caption,other posts comment",Thailand,
sittpun_deaw,1,,,1,1,,,"caption,name,other posts caption ",Thailand,
jayda.yo,,,,,1,,1,"other posts caption,location frequency",Thailand,
0121.pnp,1,,,,1,,1,"caption,bio,other posts caption,location frequency",Thailand,
kant_kant_012,1,,1,,1,,1,"caption,other posts caption,location frequency",Thailand,
shivani.rapolu,,,1,,,,,bio,Singapore,
bordinnn,1,,,,1,1,,"caption,comment,other posts caption,other posts comment",Thailand,
guerrazzzi,1,1,1,1,1,1,1,"caption,bio,name,other posts caption,other posts comment,location frequency",United States,
ninetwelver,1,,,1,1,1,,"caption,name,other posts caption,other posts comment",Thailand,
ap._.ampereeeee,,,,,1,1,1,"other posts caption,other posts comment,location frequency",Thailand,
onnieyepo,,,,1,1,1,1,"name,other posts caption,other posts comment,location frequency",Thailand,
viviwarina,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,
chaosninjamedic,1,,,1,1,1,,"caption,name,other posts caption,other posts comment",United States,tag JFK Airport after CNX Aiport
peeaiemm,,,,,,,1,location frequency,Thailand,nothing but location tag
na_phua,1,,,1,1,,,"caption,name,other posts caption ",Thailand,
suchanya_nik,1,,,,1,,,"caption,other posts caption ",Thailand,
mmm9566,1,,1,1,1,,,"caption,bio,name,other posts caption ",Thailand,
namheekil,1,,1,,1,,,"caption,bio,other posts caption ",Korea,
bright_mjb,,,,,1,1,,"other posts caption,other posts comment",Thailand,
summers1997,1,1,,,1,1,1,,England,
khun.sakulwech,,,,,,1,1,,Thailand,
zeesurikij.c,,,,,1,,,,Thailand,
stunaptim,,,,,1,1,,,Thailand,
olliechad07,,,,,,,,,UNKNOWN,I know he is from England because of graduation picture but how can AI tell?
aon_ny3245,1,,,,1,1,,,Thailand,
nbk_1983,,,,,,1,,,Thailand,
haii_hye,1,,1,1,1,,,,Korea,
kikijen261,1,,1,1,1,1,,,Korea,
s.ophie_t,,,,,,,,,UNKNOWN,All caption in English and location is around the world
artty_artty,,,,,,1,1,,Thailand,
sorin.popa17,,,,,,,,,UNKNOWN,have 1 post with emoji caption
tqs.w2,,,,,1,,1,,Thailand,
yinggolfka,,,,,1,1,,,Thailand,
bookbu147,,,,,1,,1,,Thailand,
jub_sogood,,,,,1,1,,,Thailand,
