username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
few_jf,1,,1,,1,,,"caption,bio,other posts caption ",Thailand,
robertom.79,1,,,,,,,"caption,caption hashtag often from barcolana",Spain,
mauritsvroombout,1,,,,,,,caption,UNKNOWN,use dutch language
foreverhand,1,,,1,,,,"caption,name",Korea,
daniela_mk17,1,,,,,,1,"caption,location frequency",French,
arisaso.art,1,,,,,,,caption,UNKNOWN,
sandi_land,1,,,,,,1,"caption,location frequency",USA,
bastien.aladenise,,,,,,,,,UNKNOWN,his bio said 'Sans domicile fixe' which mean no place to live
noam_azoulay,,1,,1,,,1,"comment,name,location frequency",Isarel,Yiddish language
dareena.vichairat,,,,,1,,,other posts caption ,Thailand,
buaykesara,1,,,,1,,,"caption,other posts caption ",Thailand,
kao_peterpan,,,,,1,,,other posts caption ,Thailand,
crazylawyercud,1,,,,1,,,"caption,other posts caption ",Thailand,
xingzhic_,1,,,1,,,,"caption,name",China,
guyadventurous,1,,,,1,,,"caption,other posts caption ",Thailand,
juphotojeju,1,,,,1,,,"caption,other posts caption ",Korea,
puach_lp,1,,,,1,,,"caption,other posts caption ",Thailand,
poahl,1,,,,1,,,"caption,other posts caption ",Thailand,
khun_kaew57,1,,1,,,,,"caption,bio",Thailand,
kaikukkukfc,1,,,,1,,,"caption,other posts caption ",Thailand,
themaxcmnight,1,,,,1,,,"caption,other posts caption ",Thailand,
oppoa83562,1,,,1,,,,"caption,name",Thailand,
chakkree_1988,1,,,1,,,,"caption,name",Thailand,
namkang_patcharie,1,,,,1,,,"caption,other posts caption ",Thailand,
lp.chat.hk,1,,,,1,,,"caption,other posts caption ",Thailand,
hereandnow_store,,,,1,1,,,"name,other posts caption ",Thailand,
guylaroche_123,1,,,1,,,,"caption,name",Thailand,
kik_narongdech,1,,1,,,,,"caption,bio",Thailand,bio said from TH
nungjakkrit,,,,,1,,,other posts caption ,Thailand,
chenzhiwei615,1,,,1,,,,"caption,name",China,
phak_love,1,,1,,,,,"caption,bio",Thailand,
nonlumphun,1,,,,1,,,"caption,other posts caption ",Thailand,
sirinanlookpla,,,,,1,,,other posts caption ,Thailand,
reikiroomlisa,,,,,,,,,UNKNOWN,use English in general but no country specify
lisajaynecraig,,,,1,,,,,Australia,
claracytrynbaum,,1,1,,,,,,Portugal,
laricht,,,,,1,,,,Portugal,
