username,method,country,addition
parnpani        ,caption from recent post,TH ,
drh1980         ,"caption,bio",UK,
minu_mmb        ,caption from recent post,French ,
chinachote      ,"bio,caption from recent post",TH,
mmooklek        ,"caption,caption from recent post",TH,
mileswithmaisie ,"bio,caption from recent post",Spain,
ter_roddang.cm,"caption,bio",TH ,
lizavettashirshir   ,"caption,caption from recent post",Russia ,
npetu           ,"caption,caption from recent post",Finland,
meedo1     ,,UNKNOWN,caption in eng
raphetlemonde   ,"caption,bio",French,
cesinnl ,,UNKNOWN,i know he is from Netherland through his fb link
hkbirbs        ,"caption,bio flag",Hong Kong,
leferia         ,"caption,location tag in recent post",USA,
joelboughner_,,UNKNOWN,caption in  eng
hanna.sauer ,"caption,bio",Germany,
shipped_away    ,bio,Croatia & Slovenia ,
lingdum         ,caption from recent post,TH ,
james_landscapesgallery,,UNKNOWN,
erik_hrustic    ,"caption,bio",Italy ,
krongtong_s     ,"caption,name",TH ,
ivantriathlon*  ,,UNKNOWN,maybe lives in TH cuz location tag is in TH a lot
shaunandsophietravels,,UNKNOWN ,
tyler_reisetter,,UNKNOWN ,
tommyk9321      ,"caption,bio flag",UK ,
hergottsmax     ,"bio,caption from recent post",Germany ,
sam_and_shiva,caption,UNKNOWN ,
basenjanneke    ,"caption,caption from recent post",Netherlands or Belgium,
kaa_siaa_      ,"caption,bio",Poland ,
