username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
zahkojung,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,
ronald.t,1,,,,1,1,1,"caption,other posts caption,other posts comment,location frequency",Malaysia,
natcha_toey,1,,,,1,1,,"caption,,other posts caption,other posts comment",Thailand,
sittpun_deaw,1,,,1,1,,,"caption,name,other posts caption ",Thailand,
jayda.yo,,,,,1,,1,"other posts caption,location frequency",Thailand,
0121.pnp,1,,,,1,,1,"caption,bio,other posts caption,location frequency",Thailand,
kant_kant_012,1,,1,,1,,1,"caption,other posts caption,location frequency",Thailand,
shivani.rapolu,,,1,,,,,bio,Singapore,
bordinnn,1,,,,1,1,,"caption,comment,other posts caption,other posts comment",Thailand,
guerrazzzi,1,1,1,1,1,1,1,"caption,bio,name,other posts caption,other posts comment,location frequency",United States,
ninetwelver,1,,,1,1,1,,"caption,name,other posts caption,other posts comment",Thailand,
ap._.ampereeeee,,,,,1,1,1,"other posts caption,other posts comment,location frequency",Thailand,
onnieyepo,,,,1,1,1,1,"name,other posts caption,other posts comment,location frequency",Thailand,
viviwarina,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,
chaosninjamedic,1,,,1,1,1,,"caption,name,other posts caption,other posts comment",United States,tag JFK Airport after CNX Aiport
peeaiemm,,,,,,,1,location frequency,Thailand,nothing but location tag
na_phua,1,,,1,1,,,"caption,name,other posts caption ",Thailand,
suchanya_nik,1,,,,1,,,"caption,other posts caption ",Thailand,
mmm9566,1,,1,1,1,,,"caption,bio,name,other posts caption ",Thailand,
namheekil,1,,1,,1,,,"caption,bio,other posts caption ",Korea,
