username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
f.xrnnn,1,,,,1,,,"caption,other posts caption ",Thailand,
mon_salon25,1,,,,1,,,other posts caption ,Thailand,
nareumonupiri,1,,,,,,,caption,Thailand,
poo_in,1,,,,,,,caption,Thailand,
glom_chaiyapong,,,,,1,1,,comment on recent post,Thailand,
subinchai.alisa.may,1,,1,,1,,,"caption,bio,other posts caption ",Thailand,
teyy1253,1,,,,1,,,"caption,other posts caption ",Thailand,
emmy_exsodice,1,,,,1,,,"caption,other posts caption ",Thailand,
mmm9566,,,1,1,1,,,"bio,name,other posts caption ",Thailand,
zpqas20,1,,,,,,,"caption,name",Thailand,
suksunchinrungruang,1,,,,1,,,"caption,other posts caption ",Thailand,
suphaamuun,1,,,,1,,,"caption,other posts caption ",Thailand,
psann1104,1,,,,1,,,"caption,other posts caption ",Thailand,
noksanfran,1,,,,1,,,"caption,other posts caption ",Thailand,
baansuan_laddawan,1,,,,1,,,"name,other posts caption ",Thailand,
earThailandyt_24,1,,1,,,,,"caption,bio",Thailand,
opxr_tc,1,,,,1,,,"caption,other posts caption ",Thailand,
surasiang.s,1,,,,1,,,other posts caption ,Thailand,
kitti_ng,1,,,,1,,,"caption,other posts caption ",Thailand,
sansuwanwong,1,,,,1,,,other posts caption ,Thailand,
boeing_onc,1,,,,1,,,"caption,other posts caption ",Thailand,
mameaw_2121,1,,,,1,,,other posts caption ,Thailand,
tony_gems,1,,,,1,,,"caption,other posts caption ",Thailand,
tony9913,1,,,,1,,,"caption,other posts caption ",Thailand,same girl as above
hutbassplayer,1,,,,1,,,"caption,other posts caption ",Thailand,
ploy0620476718,1,,,,1,,,"caption,other posts caption ",Thailand,
aomsine_nipapan,1,,,,1,,,"caption,other posts caption ",Thailand,
nuaunuart_au,1,,,,1,,,"caption,other posts caption ",Thailand,
phapada_05,1,,,,1,,,"caption,other posts caption ",Thailand,
diamond_man2021,1,,,,1,,,"caption,other posts caption ",Thailand,
go.toThailandailand,1,,1,,,,,"caption,bio",French,
_surayod,1,,,,1,,,"caption,other posts caption ",Thailand,
rolling._.potato,,,1,,,,,bio,Korea,caption contains Thailandai lang but bio said from kr
tikohyah,1,,,,1,,,"caption,other posts caption ",Thailand,
je.1313,1,,,1,1,,,"caption,name,other posts caption ",Thailand,
cherr_y2576,1,,1,1,,,,"caption,bio,name",Thailand,
ekkamai3,1,,1,,,,,"caption,bio",Thailand,
tukky66,1,,1,,,,,"caption,bio",Thailand,
americanthaiguy,1,,1,1,,,,"caption,bio,name",Thailand,
djrasvosty,,,,,,,,,UNKNOWN,caption in eng
