username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
kiew_ho49           ,,,,,1,,,caption from recent post,Thailand,
lekwondergirl       ,,,1,,1,,,"bio,caption from recent post",Thailand,
noonummarisa        ,,,,,1,,,caption from recent post,Thailand,
tum___riches        ,,,,,1,,,caption from recent post,Thailand,
vanh_619            ,,,1,,,,,Bio,Laos,post caption in Thailandai
win_umpavanont      ,,,,,1,,,caption from recent post,Thailand,
art_Thailandanison1998    ,,,1,,1,,,"Bio,caption from recent post",Thailand,
banana_paplearn     ,,,1,,1,,,"Bio,caption from recent post",Thailand,
krutukta_naka       ,,,1,,1,,,"Bio,caption from recent post",Thailand,
wanThailandewhale         ,,,1,,,,,bio,Thailand,
rattapholp          ,,,,,1,,,caption from recent post,Thailand,
meawsarinya         ,,,,,1,,,caption from recent post,Thailand,
phloipolly          ,,,1,,,,,bio,Thailand,
bysainee            ,,,,,1,,,caption from recent post,Thailand,
nim_grand           ,,,,,1,,,caption from recent post,Thailand,
phuengchayacchchraa ,,,1,,1,,,"bio,caption from recent post",Thailand,
kapolotraveler      ,,,1,,,,,bio,Thailand,
anuchaprapaiphon    ,,,,,1,,,caption from recent post,Thailand,
aoijaijaa           ,,,1,,,,,bio,Thailand,
brian_atichart      ,,,,,1,,,caption from recent post,Thailand,
nongkul_z           ,,,,,1,,,caption from recent post,Thailand,
jeyjey4935          ,,,,,1,,,caption from recent post,Thailand,
kanta_sura          ,,,,,,,,,UNKNOWN,"caption in eng,personal blog"
housemed            ,,,,,1,,,caption from recent post,Thailand,
mermerkra           ,,,1,,1,,,"bio,caption from recent post",Thailand,
____watcharin__     ,,,,,1,,,caption from recent post,Thailand,
mayda_cocomilk      ,,,1,,1,,,"bio,caption from recent post",Thailand,
apostrophe_artz     ,,,1,,,,,bio,Thailand,
mameawsrikasem      ,,,,,1,,,caption from post,Thailand,
butsayap_an         ,,,,,1,,,caption from post,Thailand,
naweeya5            ,,,,,1,,,caption from post,Thailand,
gag_vongravee       ,,,,,1,,,caption from recent post,Thailand,
carrot_aongkan      ,,,,,1,,,caption from recent post,Thailand,
piya__u             ,,,,,1,,,caption from recent post,Thailand,
chm0616             ,,,1,,,,,bio,Korea,
panupan_mark        ,,,1,,,,,bio,Thailand,
beerkritsadapat     ,,,1,,1,,,"bio,caption from recent post",Thailand,
paooooooooo         ,,,,,1,,,caption from post,Thailand,
anantippimpawa      ,,,1,,,,,bio,Thailand,caption in eng
musashiden01        ,,,1,,1,,,"bio,caption from recent post",Thailand,
niminimi_9898       ,,,,,,,,,,UNKNOWN,caption in eng
udomnaew            ,,,,,1,,,other posts caption,Thailand,
oil_opa             ,,,,1,,1,,"name,posts comment",Thailand,
ada_decemb          ,,,1,,1,1,,"bio,posts caption,posts comment",Thailand,           
octor1              ,,,,1,1,,,"name,posts caption",Thailand,addition
som281234           ,,,,,1,,,posts caption,Thailand,
khajeeratkhanom     ,,,,,1,,,posts caption,Thailand,
puengnois           ,,,,,1,,,posts caption,Thailand,
nutty_007           ,,,,,1,1,,"posts caption, posts comment",Thailand,
newningnong         ,,,,,1,1,,"posts caption, posts comment",Thailand,
koopeekoi           ,,,1,1,1,1,,"bio, name, posts caption, posts comment",Thailand,
tay_penchan         ,,,,,1,,,posts caption,Thailand,
pannipannii         ,,,,,1,,,posts caption,Thailand,
tunyong_bie         ,,,1,1,,,,"bio,name",Thailand,
vj_ton              ,,,1,,1,,,"bio, posts caption",Thailand,
mamemakham          ,,,,,1,1,,"posts caption, posts comment",Thailand,
eiizchaeyeon        ,,,,,,1,,posts comment,Thailand,
chartchirdchaikul   ,,,,,1,1,,"posts caption, posts comment",Thailand,
napolitant          ,,,,,1,,,posts caption,Thailand,
pongkb383           ,,,1,1,1,1,,"bio, name, posts caption, posts comment",Thailand,
rungmjt             ,,,,,1,1,,"posts caption, posts comment",Thailand,
