username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
jodi.melissa,1,,1,1,1,1,,"caption,bio,name,other posts caption,other posts comment",USA,Georgia
leksadda,,,,,1,1,1,"other posts caption,other posts comment,location frequency",Thailand,
daruneeprasert,1,,,,1,,,"caption,other posts caption",Thailand,
somi_freedom,1,,1,,1,1,1,"caption,bio,other posts caption,other posts comment,location frequency",Korea,
joequinmiaoyew,,,,,1,1,,"other posts caption,other posts comment",Chinese,
guidebe,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,
headfridge,1,,,,1,1,,"caption,other posts caption,other posts comment",USA,
cookingwithpiyanad,,,,,1,1,,"other posts caption,other posts comment",Thailand,
maxime8429,,,,,1,,1,"other posts caption,location frequency",France,
urbanlich,,,,,1,1,1,"other posts caption,other posts comment,location frequency",Iran,
fredericfilly,,,,,1,1,,"other posts caption,other posts comment",Italy,
g.year_93,1,,1,,1,1,,"caption,bio,other posts caption,other posts comment",Korea,
pinkhamsawang,,,,,1,,,other posts caption ,Thailand,
yoyo_zoh,,,1,1,,1,,"bio,name,other posts comment",Thailand,
_jaejaemom_,1,,1,,1,1,,"caption,bio,other posts caption,other posts comment",Korea,
jodimmosley,1,,1,1,,,,"caption,bio,name",Jamaica,Jamaica flag in name
jorgeguzmanofficialpr,,,1,,1,,,"bio,other posts caption",Puerto Rico,
supanpon_mk,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,
mamsdiarrakonte,,,,,1,1,,"other posts caption,other posts comment",France,
fernandarua_,1,,,,1,1,,"bio,other posts caption,other posts comment",Mexico,
elinor2,,,,,,1,,,Israel,only emoji caption
janthamalee_nk,,1,1,,,,,"comment,bio",Thailand,Thailand flag in bio
jjjjbeauty,1,1,1,1,1,,,"caption,comment,bio,name,other,posts caption,other posts comment",Korea,
palle6519,1,,1,1,1,,,"caption,bio,name,other,posts caption",Thailand,
hye_inng,1,1,,,1,1,,"caption,comment,other,posts caption,other posts comment",Korea,
idoshamir.1,,1,1,1,1,1,,"comment,bio,name,other posts caption,other posts comment",Israel,
monomatty.mc,,,,,1,1,,"other posts caption,other posts comment",Italy,
guto_wongnarat,1,,,1,1,,,"caption,name,other posts caption",Thailand,
karnnamtan,,,,,1,1,,"other posts caption,other posts comment",Thailand,
soychanty_torres,1,,1,,1,1,,"caption,bio,other posts caption,other posts comment",Mexico,
jennmich,1,1,,,1,1,,"caption,comment,other posts caption,other posts comment",Spain,
matthewsmith566,,,,,,,,UNKNOWN,,
alexandrii.style,1,1,,,1,1,,"caption,comment,other posts caption,other posts comment",Mexico,
_inhyeee_,1,,,1,1,1,,,Korea,
anovharz,,,1,,,,,,Philippines,
noo_noot,1,,,,1,1,,,Thailand,
rolandho_con_h,1,,,,1,,,,Spain,
ferozhdz,,,,,,,,,UNKNOWN,checkin multiple places and use English in general
ming_12162004,,,,,1,,,,China,
luna_santanam,,,,,1,1,,,Spain,
jacky_chantx308,,,,,1,,,,Thailand,
chanidapa659,,,,,1,1,,,Thailand,
kknkk_kii,,,1,,,,,,Thailand,
pingpong_pingpong_pingpong,1,,,,1,,,,Thailand,
raviwanj_aumimm,1,,,,1,1,,,Thailand,
joselizzp,,,,,,,,,Spain/Thailand,caption in Spanish but bio is Thai
belle.la.7528,,,,,1,,,,Thailand,
lovebaby_pinpin_pangfoon,1,,,1,1,,,,Thailand,
sw.nl,,,,,1,1,,,Thailand,
didi_sorrasak,1,,,,1,,,,Thailand,
su_uer,,,,,,,,,UNKNOWN,use English in general but no country specify
sariya.wilson554,1,,,,1,,,,Thailand,
sasunnack,1,1,1,,,,,,Thailand,
nawarin.0,,,,,1,1,,,Thailand,
supawanratchapoom,,,,,1,,,,Thailand,
mohntohn,1,,,,1,,,,Thailand,
choi_keun,1,,1,1,,,,,Korea,
butrabamrung,,,1,,,,,,Thailand,
siththiphng_bunephng,1,,,,1,,,,Thailand,
shirelshaul,1,1,,,1,1,,,Israel,
japan.kwrst,1,,,,1,,,,Thailand,
lielbetyosef,1,1,,,1,1,,,Israel,
