username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
ricemoney29,1,,1,,1,,,,Thailand,
nagrognok,,,,,,,,,NAT,
nam_suparat02,1,,1,,1,,,,Thailand,
bb_bowkadsara,1,,,,1,1,,,Thailand,
plapao_iiza,,,,,,,,,NAT,
s1s.samos,,1,,,,1,,,Thailand,
nanthitamaneerat,,,,,1,1,,,Thailand,
joyjiezz,,1,,,1,1,,,Thailand,
may_montikan,1,1,,,1,1,,,Thailand,
benz_sch,1,,,,1,1,,,Thailand,
paosatheanpan,1,,,,1,1,,,Thailand,
graesfee,,,,,1,1,,,Thailand,
boonyaritikaew,,,,1,,,,,Thailand,
karjun_property68,,,,,,,,,Unknown,
kusimalee.k,,,,1,,,,,Thailand,
senariobrandbag,1,,1,1,1,,,,Thailand,
parw_porntida,1,1,,1,1,1,,,Thailand,
maankwan.curtain,,,,,,,,,NAT,
kimsams1,,,,,,,,,Unknown,
moemomay,1,,1,,1,1,,,Thailand,
suriya.1453,1,,,,1,1,,,Thailand,
bankloveit,1,,1,1,1,1,,,Thailand,
keng.pj,1,,,,1,1,,,Thailand,
barahave02,1,1,,,1,1,,,Thailand,profile in japanese
dj_arashi28,1,1,,,1,1,,,Hongkong,chinese
notty_panupat,1,,,,1,1,,,Thailand,
ninewgirl,,,1,,,,,,Thailand,
icenarupon,,,,,,,,,Unknown,
_.ganxq,1,,,,1,,,,Thailand,
janchira_promjairak,1,,,,1,1,,,Thailand,
5azdraca,,,,,,,,,Unknown,
asana_aide,1,,,,1,,,,Thailand,
luisant_pp,,,,,1,1,,,Thailand,bio in french
maypleziimii,1,1,,,1,1,,,Thailand,
thinee_parn,1,,,,1,1,,,Thailand,
pissadan44,1,,,,1,,,,Thailand,
milkchalinee,1,,,,1,,,,Thailand,
surchaymruphngs,1,,,1,1,,,,Thailand,
zorbastears,1,,1,,1,,,,Thailand,
sasimistine,1,,,,1,,,,Thailand,
sprite_parichat,1,,,,1,,,,Thailand,
khom_trw,,,,,,,,,NAT,
rungsiyaporn_mitaree,,,,,,,,,Unknown,
mapraangepliiynaicch,1,,1,1,1,,,,Thailand,
kindly_bella,1,,,,1,1,,,Korea,
tai_spt_tukta,1,,,,1,,,,Thailand,
mynameismeelongonnabetired,,1,,,,1,,,Thailand,
sikmulzip_,1,1,1,1,1,1,,,Korea,
wirabhorn,,1,,,1,1,,,Thailand,
taanmattana,1,,,,1,1,,,Thailand,
mekhun_tn,,,1,,1,1,,,Thailand,
tookataa._,1,1,,,,,,,Thailand,
graesfee,,1,,,1,1,,,Thailand,
cmnightsafari.sales,1,,1,1,1,,,,NAT,
eakky_nuttawut,1,1,,,1,1,,,Thailand,
twinmom1213,1,,1,1,1,1,,,Korea,
poonim3799,1,,1,,1,,,,Thailand,
acsso,1,,,,1,1,,,Thailand,
cpt.beer10,,,,,1,,,,Thailand,
aa.auaii,1,,,1,1,1,,,Thailand,
iinamoii,1,1,1,1,1,1,,,Thailand,
acare_1889,1,,1,,1,,,,Thailand,
poonim3799,1,,1,,1,,,,Thailand,
qoolywan,1,,,1,1,,,,Thailand,
thapana_naja,1,,,,1,,,,Thailand,
nuy_coffee,1,,,,1,,,,Thailand,
toxic_wantai,,,,,,,,,Unknown,
wissnuwat,1,1,,,1,,,caption,thailand,
pakkard11,1,1,1,,1,1,,caption,thailand,
biw_vorranidtha,,,,1,1,,,"name bio,video post,other post cap",thailand,
5azdraca,1,,,,1,,,caption,thailand,
ekchayekh,1,,,1,1,,,caption,thailand,
nagrognok_cafe,,,,,,,,,NAT,shop
noom_sanesi,,,,,1,,,"name bio,other post cap",thailand,
ohmrattanin,1,,,,1,1,,caption,thailand,
natcha_toey,1,,,,,,,caption,thailand,
maewzaazaa,1,,,,,,,caption,thailand,
_tungton_,1,,,,,,,caption,thailand,
nagrognok_cafe,,,,,,,,,NAT,shop
nagrognok_cafe,,,,,,,,,NAT,shop
somjin_songsawatwong,,,,,,,,NaN,Unknown,
pnitipat,1,,,,,,,caption,thailand,
popeyepp,1,,,,,,,caption,thailand,
gamegamr38,1,,,,,,,caption,thailand,
prxmyonk177,1,,,,,,,caption,thailand,
ph0t0.p717,1,,,,,,,caption,thailand,same as bf
jureerat_pt,1,,,,,,,caption,thailand,
jutamatchintawan,1,,,,,,,caption,thailand,
natthawootdeaw,1,,,,,,,caption,thailand,
miikbu.ig,,,,,1,,,other post cap,thailand,
natthawootdeaw,1,,,,,,,caption,thailand,
natthawootdeaw,1,,,,,,,caption,thailand,
panuwat.pom,1,,,,,,,caption,thailand,
chayanun_996496,1,,,,,,,caption,thailand,
panuwat.pom,,,,,1,,,other post cap,thailand,
nooyeanchimi,1,,,,,,,caption,thailand,
popeye.chiangmai,1,,,,,,,caption,thailand,
n.siri1987,1,,,,,,,caption,thailand,
nagrognok_cafe,,,,,,,,,NAT,shop
pitchaya8277,1,,,,,,,caption,thailand,
bensusie,,,,,,,,Nan,Unknown,
chayanun_996496,1,,,,,,,caption,thailand,
mheaw_siriporn,,,1,,,,,bio,thailand,"chayanun's friend, same pic"
jesus_miracle99,,,,,,,,,Unknown,"chinese's name,bio"
montirt,1,,,,,,,caption,thailand,
my_nis_,1,,,,,,,caption,thailand,
nokkamolluck2544,,,,,1,,,other post cap,thailand,
wazhathk,1,,,,,,,caption,thailand,
