username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
myofca_glee,1,1,,,1,1,,,Korea,
baudaloladiacy,,1,1,,1,1,,,Portuges,not sure
tan_aiting,,,,,,,,,Unknown,
dazzling_ummy,,,,,1,,,,Thailand,mostly in english
thai_kidstrio_satomi,1,,1,1,1,1,,,Japan,
ooiyingying5688,,,,,,,,,Unknown,all in english
baansuan_laddawan,,,,1,1,,,,Thailand,
kay_boonyai,,,,,,,,,Unknown,all in english
dickson.wong1712,,,,,1,,,,Vietnam,
lovesfishes,,,,,,,,,Unknown,not thai
kunnaree.coffeeplease,,1,,1,1,1,,,Thailand,
