username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
dewsheila,,,,,,,,,UNKNONW,caption in english
tingtxt,,,1,,,,,"bio",United States,
seoulost,1,,1,,1,1,,"caption,bio,other posts caption,other posts comment",Thailand,
pupaepinyapatch,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,
aooddy55,1,,1,,1,,,"caption,bio,other posts caption",Thailand,
jeejyg,,,,,1,,,"other posts caption",Thailand,
bear.little.n,1,,,,1,,,"caption,other posts caption",China,
puttarak_sa3,,,1,,,,,"bio",Thailand,1 post with emoji
suguss_cmk,,,1,,1,1,,"bio,other posts caption,other posts comment",Thailand,
athit_hs6hro,1,,,,1,,,"caption,other posts caption",Thailand,
li.yizhou,,,1,,1,1,,"bio,other posts caption,other posts comment",China,
varanon9669,,,,,1,1,,"other posts caption,other posts comment",Thailand,
tennis__hub120941,1,,1,,1,1,,"caption,bio,other posts caption,other posts comment",Thailand,
niran_msng,,,,,,1,,"other posts comment",Thailand,
wittayawsd,,,,1,1,1,,"name,other posts caption,other posts comment",Thailand,
warut_lamchiak,,,,1,1,,"other posts caption,other posts comment",Thailand,
nuchiie_dewar,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,
juju821119,,,,,1,,,"other posts caption",China,comment in english
bombogus,,,,,1,1,,"other posts caption,other posts comment",Thailand,
bass_soundman,,,1,,1,1,,"bio,other posts caption,other posts comment",Thailand,
loopofart,1,,1,,1,1,,"caption,bio,other posts caption,other posts comment",NAT,
noema.kw,1,,,,1,1,,"caption,other posts caption,other posts comment",NAT,
jeejyg
_nyx1999,1,,,,1,1,,"caption,other posts caption, other posts comment",Thailand,
punareehome,1,,,,1,,,"caption,other posts caption",NAT,
algacul,,,,,1,,,"other posts caption,"Spain",
cho_khunthai,,,,,1,1,,"other posts caption,other posts comment",Thailand,
kr1iengsak05,,,,,1,1,,"other posts caption,other posts comment",Thailand,
