username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition,,
bro.colee,1,,1,1,1,1,,"caption,bio,name,other posts caption,other posts comment",Korea,,,
lek_pattaphol2469,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,,,
echo_neuro,1,1,,,1,1,,"caption,comment,other posts caption,other posts comment",China,,,
chanyanath,,,,,1,1,,"other posts caption,other posts comment",Thailand,,,
somchai_na_chiangmai,1,1,1,,1,1,,"caption,comment,bio,other posts caption,other posts comment",Thailand,,,
varun_dev,,,1,,,,,bio,Singapore,captions are in english,,
ladybumbim,,,1,,1,,,"bio,other posts caption",Thailand,,,
watchareeyadou,1,,,1,1,,,"caption,name,other posts caption",Thailand,,,
judytoto1,1,,,,1,,,"caption,other posts caption",Thailand,,,
mickeymargaretofficial,,1,,,1,1,,"comment,other posts caption,other posts comment",Thailand,,,
phoosid37_,,,,,,,,,NAT,,,
ilbelmare,,,,,,,,,UNKNOWN,three languages in posts(japanese,english,thai) and comments are in english
pawelbudynek,,,,,,,1,other posts comment,Poland,,,
t__m_a_y,,,,,,,,,UNKNOWN,,,
numpunch.xn,,,1,,1,1,,"bio,other posts caption,other posts comment",Thailand,,,
britanyohan,1,,,,1,1,,"other posts caption,other posts comment",China,,,
ken_kimyongjoon,,,,,1,1,,"other posts caption,other posts comment",Thailand,,,
iamapradabackpacker,,,,,1,1,,"other posts caption,other posts comment",Thailand,caption and comment there are both thai and english,,
natthamon_ning12,1,,,,1,,,"caption, other posts caption",Thailand,,,
nungniingko,1,,,,1,,,"caption, other posts caption",Thailand,,,
timexley,,,,,,,,,UNKNOWN,captions are in english,,
dareena.vichairat,,,,,,,,,UNKNOWN,posts and comments are in english,,
thawat4646,,,1,,1,,,"bio,other posts caption",Thailand,,,
rungedchaaratn,1,,,1,1,,,"caption,name,other posts caption",Thailand,,,
anantippimpawa,,,,,1,,1,"other posts caption,location frequency",Thailand,most of captions in english,,
jasofjasmine,,,,,1,1,1,"other posts caption,other posts comment,location frequency",China,,,
levoyage_cestlavie,1,,,1,1,1,,"caption,name,other posts caption,other posts comment",China,,,
wittawat.hh,,,,,1,1,,"other posts caption,other posts comment",Thailand,,,
lttree,,,,,1,,,other posts caption,Thailand,,,
4624pu,1,,,,1,1,,"caption, other posts caption,other posts comment",Thailand,,,
wanwan_wilawan,1,,,,1,1,,"caption,other posts caption,other posts comment",Thailand,,,
vagabondtraveltales,,,,,,,,,UNKNOWN,captions and comments are in english,,
vescovifrancesca,,,,,1,1,,"other posts caption,other posts comment",Italy,,,
sylvie_jean_joseph,1,,1,,1,1,,"caption,bio,other posts caption,other posts comment",France,,,
